time,open,high,low,close,tick_volume,spread,real_volume
2023-07-31 07:27:00,10939.677,10939.677,10938.913,10938.913,59,1090,0
2023-07-31 07:28:00,10938.912,10938.912,10938.3,10938.3,59,1090,0
2023-07-31 07:29:00,10938.283,10938.283,10937.616,10937.616,58,1090,0
2023-07-31 07:30:00,10937.601,10937.601,10936.974,10936.974,58,1090,0
2023-07-31 07:31:00,10936.955,10936.955,10936.309,10936.309,58,1090,0
2023-07-31 07:32:00,10936.286,10936.286,10935.654,10935.654,60,1090,0
2023-07-31 07:33:00,10935.652,10935.652,10935.053,10935.053,57,1090,0
2023-07-31 07:34:00,10935.051,10935.051,10934.396,10934.396,59,1090,0
2023-07-31 07:35:00,10934.383,10934.383,10933.794,10933.794,57,1090,0
2023-07-31 07:36:00,10933.778,10933.778,10933.102,10933.102,58,1090,0
2023-07-31 07:37:00,10933.091,10933.091,10932.562,10932.562,58,1090,0
2023-07-31 07:38:00,10932.56,10932.56,10931.895,10931.895,54,1090,0
2023-07-31 07:39:00,10931.881,10952.451,10931.764,10951.867,60,1090,0
2023-07-31 07:40:00,10951.85,10951.85,10951.196,10951.196,60,1090,0
2023-07-31 07:41:00,10951.184,10951.184,10950.529,10950.529,58,1090,0
2023-07-31 07:42:00,10950.514,10950.514,10949.814,10949.814,60,1090,0
2023-07-31 07:43:00,10949.78,10949.78,10949.084,10949.084,58,1090,0
2023-07-31 07:44:00,10949.081,10949.081,10948.338,10948.338,60,1090,0
2023-07-31 07:45:00,10948.337,10948.337,10947.728,10947.728,56,1090,0
2023-07-31 07:46:00,10947.717,10947.717,10947.033,10947.033,58,1090,0
2023-07-31 07:47:00,10947.025,10947.025,10946.392,10946.392,57,1090,0
2023-07-31 07:48:00,10946.386,10946.386,10945.676,10945.676,59,1090,0
2023-07-31 07:49:00,10945.67,10945.67,10945.034,10945.034,56,1090,0
2023-07-31 07:50:00,10945.034,10945.034,10944.504,10944.504,57,1090,0
2023-07-31 07:51:00,10944.489,10944.489,10943.876,10943.876,58,1090,0
2023-07-31 07:52:00,10943.875,10943.875,10943.282,10943.282,60,1090,0
2023-07-31 07:53:00,10943.266,10943.266,10942.591,10942.591,58,1090,0
2023-07-31 07:54:00,10942.568,10955.025,10942.18,10954.836,59,1090,0
2023-07-31 07:55:00,10954.835,10954.835,10954.22,10954.22,59,1090,0
2023-07-31 07:56:00,10954.219,10954.219,10953.533,10953.533,59,1090,0
2023-07-31 07:57:00,10953.531,10953.531,10952.88,10952.88,56,1090,0
2023-07-31 07:58:00,10952.876,10952.876,10952.336,10952.336,57,1090,0
2023-07-31 07:59:00,10952.332,10952.332,10951.697,10951.697,57,1090,0
2023-07-31 08:00:00,10951.685,10951.685,10950.99,10950.99,58,1090,0
2023-07-31 08:01:00,10950.969,10950.969,10950.38,10950.38,57,1090,0
2023-07-31 08:02:00,10950.377,10950.377,10949.757,10949.757,57,1090,0
2023-07-31 08:03:00,10949.757,10949.757,10949.148,10949.148,57,1090,0
2023-07-31 08:04:00,10949.146,10949.146,10948.466,10948.466,60,1090,0
2023-07-31 08:05:00,10948.454,10948.458,10947.977,10948.192,57,1090,0
2023-07-31 08:06:00,10948.176,10948.176,10947.56,10947.56,60,1090,0
2023-07-31 08:07:00,10947.553,10947.553,10946.768,10946.768,57,1090,0
2023-07-31 08:08:00,10946.747,10946.747,10946.06,10946.06,57,1090,0
2023-07-31 08:09:00,10946.055,10946.055,10945.466,10945.466,57,1090,0
2023-07-31 08:10:00,10945.443,10945.443,10944.853,10944.853,58,1090,0
2023-07-31 08:11:00,10944.853,10944.853,10944.261,10944.261,59,1090,0
2023-07-31 08:12:00,10944.233,10944.233,10943.574,10943.574,58,1090,0
2023-07-31 08:13:00,10943.556,10943.556,10942.913,10942.913,55,1090,0
2023-07-31 08:14:00,10942.899,10942.899,10942.273,10942.273,55,1090,0
2023-07-31 08:15:00,10942.268,10950.62,10941.76,10950.414,59,1090,0
2023-07-31 08:16:00,10950.406,10950.406,10949.838,10949.838,59,1090,0
2023-07-31 08:17:00,10949.816,10949.816,10949.212,10949.212,58,1090,0
2023-07-31 08:18:00,10949.2,10951.213,10949.109,10950.579,59,1090,0
2023-07-31 08:19:00,10950.576,10966.1,10950.206,10965.803,58,1090,0
2023-07-31 08:20:00,10965.8,10965.8,10965.124,10965.124,60,1090,0
2023-07-31 08:21:00,10965.111,10965.111,10964.475,10964.475,58,1090,0
2023-07-31 08:22:00,10964.461,10964.461,10963.809,10963.809,58,1090,0
2023-07-31 08:23:00,10963.795,10963.795,10963.088,10963.088,60,1090,0
2023-07-31 08:24:00,10963.076,10963.076,10962.435,10962.435,59,1090,0
2023-07-31 08:25:00,10962.432,10962.432,10961.752,10961.752,58,1090,0
2023-07-31 08:26:00,10961.75,10961.75,10961.197,10961.197,59,1090,0
2023-07-31 08:27:00,10961.19,10961.19,10960.555,10960.555,57,1090,0
2023-07-31 08:28:00,10960.552,10960.552,10959.871,10959.871,56,1090,0
2023-07-31 08:29:00,10959.867,10959.867,10959.225,10959.225,59,1090,0
2023-07-31 08:30:00,10959.219,10959.219,10958.537,10958.537,58,1090,0
2023-07-31 08:31:00,10958.517,10958.517,10957.913,10957.913,59,1090,0
2023-07-31 08:32:00,10957.902,10957.902,10957.258,10957.258,58,1090,0
2023-07-31 08:33:00,10957.242,10957.242,10956.632,10956.632,59,1090,0
2023-07-31 08:34:00,10956.629,10956.629,10956.037,10956.037,60,1090,0
2023-07-31 08:35:00,10956.01,10956.01,10955.336,10955.336,59,1090,0
2023-07-31 08:36:00,10955.31,10955.31,10954.602,10954.602,60,1090,0
2023-07-31 08:37:00,10954.582,10954.582,10954.024,10954.024,57,1090,0
2023-07-31 08:38:00,10954.017,10954.017,10953.32,10953.32,59,1090,0
2023-07-31 08:39:00,10953.305,10953.305,10952.654,10952.654,58,1090,0
2023-07-31 08:40:00,10952.643,10952.643,10951.917,10951.917,59,1090,0
2023-07-31 08:41:00,10951.904,10951.904,10951.233,10951.233,59,1090,0
2023-07-31 08:42:00,10951.213,10951.213,10950.499,10950.499,57,1090,0
2023-07-31 08:43:00,10950.488,10950.488,10949.78,10949.78,59,1090,0
2023-07-31 08:44:00,10949.759,10949.759,10949.145,10949.145,60,1090,0
2023-07-31 08:45:00,10949.122,10949.122,10948.438,10948.438,58,1090,0
2023-07-31 08:46:00,10948.435,10948.435,10947.837,10947.837,60,1090,0
2023-07-31 08:47:00,10947.828,10947.828,10947.153,10947.153,59,1090,0
2023-07-31 08:48:00,10947.133,10947.133,10946.517,10946.517,59,1090,0
2023-07-31 08:49:00,10946.494,10946.494,10945.828,10945.828,60,1090,0
2023-07-31 08:50:00,10945.802,10945.802,10945.188,10945.188,57,1090,0
2023-07-31 08:51:00,10945.183,10945.183,10944.514,10944.514,57,1090,0
2023-07-31 08:52:00,10944.506,10944.506,10943.952,10943.952,59,1090,0
2023-07-31 08:53:00,10943.947,10943.947,10943.283,10943.283,57,1090,0
2023-07-31 08:54:00,10943.281,10946.287,10942.89,10946.065,58,1090,0
2023-07-31 08:55:00,10946.054,10946.054,10945.508,10945.508,57,1090,0
2023-07-31 08:56:00,10945.493,10945.493,10944.839,10944.839,59,1090,0
2023-07-31 08:57:00,10944.831,10944.831,10944.208,10944.208,57,1090,0
2023-07-31 08:58:00,10944.207,10944.207,10943.622,10943.622,58,1090,0
2023-07-31 08:59:00,10943.621,10943.621,10943.047,10943.047,58,1090,0
2023-07-31 09:00:00,10943.025,10943.025,10942.401,10942.401,59,1090,0
2023-07-31 09:01:00,10942.395,10942.395,10941.624,10941.624,58,1090,0
2023-07-31 09:02:00,10941.6,10941.6,10940.945,10940.945,58,1090,0
2023-07-31 09:03:00,10940.943,10940.943,10940.332,10940.332,58,1090,0
2023-07-31 09:04:00,10940.319,10940.319,10939.734,10939.734,58,1090,0
2023-07-31 09:05:00,10939.719,10939.719,10938.95,10938.95,60,1090,0
2023-07-31 09:06:00,10938.939,10938.939,10938.316,10938.316,60,1090,0
2023-07-31 09:07:00,10938.305,10938.305,10937.667,10937.667,56,1090,0
2023-07-31 09:08:00,10937.644,10937.644,10937.043,10937.043,59,1090,0
2023-07-31 09:09:00,10937.027,10937.027,10936.351,10936.351,55,1090,0
2023-07-31 09:10:00,10936.35,10936.35,10935.621,10935.621,58,1090,0
2023-07-31 09:11:00,10935.595,10935.595,10934.896,10934.896,59,1090,0
2023-07-31 09:12:00,10934.88,10934.88,10934.167,10934.167,57,1090,0
2023-07-31 09:13:00,10934.158,10934.158,10933.563,10933.563,59,1090,0
